major_code,major_name,major_level,degree,limit_year,level2_name,level3_name,core_courses_estimated,course_basis,data_note,tier1_school_examples,tier1_course_focus,tier2_school_examples,tier2_course_focus,tier3_school_examples,tier3_course_focus
100206TK,放射医学,本科(普通),医学学士,五年,医学,临床医学类,核辐射物理学、放射生物学、辐射剂量学、遗传毒理学、放射治疗学、肿瘤学、核药学、核医学仪器、临床核医学、实验核医学,rysxai_major_course,,吉林大学、苏州大学、南京医科大学、温州医科大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：吉林大学、苏州大学、南京医科大学、温州医科大学,安徽医科大学、福建医科大学、山东第一医科大学、河南科技大学、河南医药大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：安徽医科大学、福建医科大学、山东第一医科大学、河南科技大学、河南医药大学,库内未命中,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
100207TK,儿科学,本科(普通),医学学士,五年,医学,临床医学类,人体解剖学、生理学、病理学、儿科学总论、小儿内科学、儿童保健学、儿科临床见习、儿科病历书写实训、药理学、诊断学,rysxai_major_course,,华中科技大学、兰州大学、上海交通大学医学院、郑州大学、苏州大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：华中科技大学、兰州大学、上海交通大学医学院、郑州大学、苏州大学,河北医科大学、安徽医科大学、浙江中医药大学、山西医科大学、南通大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：河北医科大学、安徽医科大学、浙江中医药大学、山西医科大学、南通大学,甘肃医学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：甘肃医学院
100301K,口腔医学,本科(普通),医学学士,五年,医学,口腔医学类,口腔解剖生理学、口腔组织病理学、口腔生物学、口腔材料学、口腔设备学、口腔临床药物学、口腔微生物学、牙体牙髓病学、牙周病学、口腔颌面外科学,rysxai_major_course,,北京大学、浙江大学、复旦大学、南京大学、武汉大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：北京大学、浙江大学、复旦大学、南京大学、武汉大学,青岛大学、河北医科大学、大连医科大学、杭州师范大学、安徽医科大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：青岛大学、河北医科大学、大连医科大学、杭州师范大学、安徽医科大学,厦门医学院、湘南学院、南昌医学院、张家口学院、新疆第二医学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：厦门医学院、湘南学院、南昌医学院、张家口学院、新疆第二医学院
100401K,预防医学,本科(普通),医学学士,五年,医学,公共卫生与预防医学类,医学高等数学、医学物理学、化学、分析化学与仪器分析、医学通识英语、系统解剖学、组织学与胚胎学、生理学、生物化学、细胞生物学,rysxai_major_course,,北京大学、浙江大学、复旦大学、武汉大学、华中科技大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：北京大学、浙江大学、复旦大学、武汉大学、华中科技大学,青岛大学、河北医科大学、大连医科大学、杭州师范大学、安徽医科大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：青岛大学、河北医科大学、大连医科大学、杭州师范大学、安徽医科大学,厦门医学院、湘南学院、南昌医学院、新疆第二医学院、湖南医药学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：厦门医学院、湘南学院、南昌医学院、新疆第二医学院、湖南医药学院
100402,食品卫生与营养学,本科(普通),理学学士,四年,医学,公共卫生与预防医学类,化学、流行病学、卫生统计学、环境卫生学、职业卫生与职业医学、营养与食品卫生学、卫生毒理学、社会医学、公共卫生实践,rysxai_major_course+category_template,,四川大学、上海交通大学医学院、上海中医药大学、广州医科大学、南京中医药大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：四川大学、上海交通大学医学院、上海中医药大学、广州医科大学、南京中医药大学,河北医科大学、福建农林大学、安徽医科大学、浙江中医药大学、安徽农业大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：河北医科大学、福建农林大学、安徽医科大学、浙江中医药大学、安徽农业大学,新疆理工学院、湖南医药学院、蚌埠学院、肇庆医学院、遵义医科大学医学与科技学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：新疆理工学院、湖南医药学院、蚌埠学院、肇庆医学院、遵义医科大学医学与科技学院
100403TK,妇幼保健医学,本科(普通),医学学士,五年,医学,公共卫生与预防医学类,人体解剖学、生理学、病理学、预防医学、妇女保健学、儿童保健学、妇幼卫生管理学、妇幼营养学、妇幼心理学、妇幼保健机构实习,rysxai_major_course,,库内未命中,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：库内未命中该层次开设样例,河北医科大学、安徽医科大学、广西医科大学、贵州医科大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：河北医科大学、安徽医科大学、广西医科大学、贵州医科大学,长沙医学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：长沙医学院
100404TK,卫生监督,本科(普通),医学学士,五年,医学,公共卫生与预防医学类,大学英语、计算机应用基础、高等数学、流行病学、卫生统计学、环境卫生学、职业卫生与职业医学、营养与食品卫生学、卫生毒理学、卫生监督学,rysxai_major_course,,哈尔滨医科大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：哈尔滨医科大学,安徽医科大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：安徽医科大学,库内未命中,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
100405TK,全球健康学,本科(普通),理学学士,四年,医学,公共卫生与预防医学类,全球健康概论、流行病学、卫生统计学、全球卫生政策、全球疾病控制、国际卫生合作、全球健康实地调研、公共卫生应急演练、国际健康项目管理实训、环境卫生学,rysxai_major_course,,武汉大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：武汉大学,库内未命中,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：库内未命中该层次开设样例,库内未命中,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
100406T,运动与公共健康,本科(普通),理学学士,四年,医学,公共卫生与预防医学类,运动解剖学、运动生理学、公共卫生学、流行病学、运动与健康促进、社区公共健康管理、运动干预与慢性病防控、运动健康测评实训、社区健康促进项目实践、慢性病运动干预方案设计,rysxai_major_course,,上海体育大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：上海体育大学,库内未命中,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：库内未命中该层次开设样例,昆明医科大学海源学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：昆明医科大学海源学院
100501K,中医学,本科(普通),医学学士,五年,医学,中医学类,中医基础理论、中医诊断学、中药学、方剂学、医古文、黄帝内经、伤寒论、金匮要略、温病学、难经,rysxai_major_course,,厦门大学、暨南大学、北京中医药大学、石河子大学、延边大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：厦门大学、暨南大学、北京中医药大学、石河子大学、延边大学,浙江中医药大学、河北大学、山东中医药大学、湖南中医药大学、三峡大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：浙江中医药大学、河北大学、山东中医药大学、湖南中医药大学、三峡大学,南昌医学院、南阳理工学院、湖南医药学院、肇庆医学院、广西中医药大学赛恩斯新医药学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：南昌医学院、南阳理工学院、湖南医药学院、肇庆医学院、广西中医药大学赛恩斯新医药学院
100502K,针灸推拿学,本科(普通),医学学士,五年,医学,中医学类,中医基础理论、经络腧穴学、医古文、中医经典导读、刺法灸法理论与实践、实验针灸学、推拿手法实践、按摩推拿学、推拿治疗学、中医妇科学,rysxai_major_course,,北京中医药大学、青海大学、上海中医药大学、南京中医药大学、广州中医药大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：北京中医药大学、青海大学、上海中医药大学、南京中医药大学、广州中医药大学,大连医科大学、浙江中医药大学、山东中医药大学、湖南中医药大学、福建中医药大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：大连医科大学、浙江中医药大学、山东中医药大学、湖南中医药大学、福建中医药大学,湘南学院、南昌医学院、湖南医药学院、甘肃医学院、广西中医药大学赛恩斯新医药学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：湘南学院、南昌医学院、湖南医药学院、甘肃医学院、广西中医药大学赛恩斯新医药学院
100503K,藏医学,本科(普通),医学学士,五年,医学,中医学类,藏医基础理论、藏医诊断学、藏医药物学、藏医内科学、藏医外科学、藏医妇科学、藏医临床技能实训、藏药炮制技术实践、藏医针灸推拿实训、中医基础理论,rysxai_major_course,,青海大学、成都中医药大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：青海大学、成都中医药大学,西藏藏医药大学、甘肃中医药大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：西藏藏医药大学、甘肃中医药大学,甘孜职业学院、甘肃卫生职业学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：甘孜职业学院、甘肃卫生职业学院
100504K,蒙医学,本科(普通),医学学士,五年,医学,中医学类,蒙医基础理论、蒙医诊断学、蒙药学、蒙医内科、蒙医外科、蒙医传统疗法、蒙医临床实训、蒙药炮制实习、蒙医针灸推拿实践、中医基础理论,rysxai_major_course,,库内未命中,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：库内未命中该层次开设样例,内蒙古医科大学、内蒙古民族大学、赤峰大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：内蒙古医科大学、内蒙古民族大学、赤峰大学,乌兰察布医学高等专科学校、呼伦贝尔职业技术学院、通辽职业学院、锡林郭勒职业学院、阜新高等专科学校,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：乌兰察布医学高等专科学校、呼伦贝尔职业技术学院、通辽职业学院、锡林郭勒职业学院、阜新高等专科学校
100505K,维医学,本科(普通),医学学士,五年,医学,中医学类,维医基础理论、维医诊断学、维药学、维医内科、维医外科、维医妇科、维医临床实训、维药炮制技术实践、维医针灸推拿实践、中医基础理论,rysxai_major_course,,库内未命中,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：库内未命中该层次开设样例,新疆医科大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：新疆医科大学,新疆和田学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：新疆和田学院
100506K,壮医学,本科(普通),医学学士,五年,医学,中医学类,大学英语、计算机应用基础、高等数学、壮医基础理论、中医基础理论、人体解剖学、壮医诊断学、壮药基础、壮医内科学、壮医外科学,rysxai_major_course,,库内未命中,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：库内未命中该层次开设样例,广西中医药大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：广西中医药大学,库内未命中,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
100507K,哈医学,本科(普通),医学学士,五年,医学,中医学类,哈医基础理论、人体解剖学、哈医诊断学、哈医治疗学、哈药识别与炮制实践、哈医临床实训、中医基础理论、中医诊断学、中药学、方剂学,rysxai_major_course,,库内未命中,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：库内未命中该层次开设样例,新疆医科大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：新疆医科大学,库内未命中,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
100508TK,傣医学,本科(普通),医学学士,五年,医学,中医学类,傣医基础理论、人体解剖学、生理学、傣医药物学基础、傣医诊断学、傣医方剂学、傣医内科学、傣医外科学、傣医临床技能实训、傣药识别与炮制实践,rysxai_major_course,,库内未命中,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：库内未命中该层次开设样例,云南中医药大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：云南中医药大学,滇西应用技术大学、德宏职业学院、西双版纳职业技术学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：滇西应用技术大学、德宏职业学院、西双版纳职业技术学院
100509TK,回医学,本科(普通),医学学士,五年,医学,中医学类,回医基础理论、中医基础理论、回医经典选读、回医诊断学基础、回医方剂学、回医治疗学、回医临床实训、回药识别与炮制技术实训、回医针灸推拿实践、中医诊断学,rysxai_major_course,,库内未命中,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：库内未命中该层次开设样例,库内未命中,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：库内未命中该层次开设样例,库内未命中,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
100510TK,中医康复学,本科(普通),医学学士,五年,医学,中医学类,大学英语、计算机应用基础、高等数学、中医基础理论、人体解剖学、中医诊断学、中医康复治疗学、康复功能评定学、针灸推拿学、运动疗法学,rysxai_major_course,,南京中医药大学、天津中医药大学、成都中医药大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：南京中医药大学、天津中医药大学、成都中医药大学,大连医科大学、浙江中医药大学、山东中医药大学、湖南中医药大学、河南中医药大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：大连医科大学、浙江中医药大学、山东中医药大学、湖南中医药大学、河南中医药大学,库内未命中,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
100511TK,中医养生学,本科(普通),医学学士,五年,医学,中医学类,中医基础理论、中医诊断学、中药学、方剂学、中医养生学、中医食疗学、中医情志养生、中医运动养生、中医养生技术实训、食疗配方设计实践,rysxai_major_course,,南京中医药大学、广州中医药大学、天津中医药大学、成都中医药大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：南京中医药大学、广州中医药大学、天津中医药大学、成都中医药大学,山东中医药大学、湖南中医药大学、河南中医药大学、辽宁中医药大学、江西中医药大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：山东中医药大学、湖南中医药大学、河南中医药大学、辽宁中医药大学、江西中医药大学,库内未命中,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
100512TK,中医儿科学,本科(普通),医学学士,五年,医学,中医学类,中医基础理论、中药学、方剂学、疾病诊疗、推拿技术及儿童保健、中医儿科学、儿科推拿学、儿童保健学、儿科临床见习、儿科推拿实训,rysxai_major_course,,库内未命中,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：库内未命中该层次开设样例,湖南中医药大学、河南中医药大学、长春中医药大学、陕西中医药大学、河北中医药大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：湖南中医药大学、河南中医药大学、长春中医药大学、陕西中医药大学、河北中医药大学,库内未命中,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
100513TK,中医骨伤科学,本科(普通),医学学士,五年,医学,中医学类,中医基础理论、中医诊断学、人体解剖学、中药学、方剂学、中医骨伤科学基础、中医正骨学、中医筋伤学、中医骨病学、创伤急救学,rysxai_major_course,,北京中医药大学、广州中医药大学、天津中医药大学、成都中医药大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：北京中医药大学、广州中医药大学、天津中医药大学、成都中医药大学,浙江中医药大学、山东中医药大学、湖南中医药大学、福建中医药大学、河南中医药大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：浙江中医药大学、山东中医药大学、湖南中医药大学、福建中医药大学、河南中医药大学,库内未命中,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
100601K,中西医临床医学,本科(普通),医学学士,五年,医学,中西医结合类,中西医结合导论、中医基础理论、正常人体形态学、人体机能学、生理学、生物化学、病理学、免疫学基础与病原微生物、中医诊断学、方剂学,rysxai_major_course,,华中科技大学、北京中医药大学、上海中医药大学、广州医科大学、南京中医药大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：华中科技大学、北京中医药大学、上海中医药大学、广州医科大学、南京中医药大学,河北医科大学、大连医科大学、浙江中医药大学、山东中医药大学、湖南中医药大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：河北医科大学、大连医科大学、浙江中医药大学、山东中医药大学、湖南中医药大学,南昌医学院、新疆第二医学院、河北医科大学临床学院、辽宁中医药大学杏林学院、贵州中医药大学时珍学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：南昌医学院、新疆第二医学院、河北医科大学临床学院、辽宁中医药大学杏林学院、贵州中医药大学时珍学院
100701,药学,本科(普通),理学学士,四年,医学,药学类,无机化学、有机化学、物理化学、生物化学、解剖生理学、免疫学基础、病原生物学与免疫学实验、病理生理学基础、药用植物学与生药学、流行病学基础,rysxai_major_course,,北京大学、浙江大学、上海交通大学、复旦大学、武汉大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：北京大学、浙江大学、上海交通大学、复旦大学、武汉大学,西交利物浦大学、青岛大学、河北医科大学、大连医科大学、杭州师范大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：西交利物浦大学、青岛大学、河北医科大学、大连医科大学、杭州师范大学,厦门医学院、周口师范学院、湘南学院、许昌学院、南昌医学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：厦门医学院、周口师范学院、湘南学院、许昌学院、南昌医学院
100702,药物制剂,本科(普通),理学学士,四年,医学,药学类,解剖生理学、无机化学、分析化学、生物化学、药理学、药物化学、药代动力学、药剂学、药物制剂、工业药剂学,rysxai_major_course,,华东理工大学、郑州大学、天津医科大学、中国药科大学、四川农业大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：华东理工大学、郑州大学、天津医科大学、中国药科大学、四川农业大学,河北医科大学、安徽医科大学、河北大学、山西医科大学、陕西科技大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：河北医科大学、安徽医科大学、河北大学、山西医科大学、陕西科技大学,通化师范学院、吉林农业科技学院、亳州学院、广西中医药大学赛恩斯新医药学院、豫北医学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：通化师范学院、吉林农业科技学院、亳州学院、广西中医药大学赛恩斯新医药学院、豫北医学院
100703TK,临床药学,本科(普通),理学学士,五年，四年,医学,药学类,临床药学导论、系统解剖学、人体解剖学、生理学、病理生理学、外科学、有机化学、无机化学、分析化学、仪器分析,rysxai_major_course,,上海交通大学、华中科技大学、西安交通大学、四川大学、山东大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：上海交通大学、华中科技大学、西安交通大学、四川大学、山东大学,河北医科大学、大连医科大学、安徽医科大学、福建医科大学、浙江中医药大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：河北医科大学、大连医科大学、安徽医科大学、福建医科大学、浙江中医药大学,湘南学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：湘南学院
100704T,药事管理,本科(普通),理学学士,四年,医学,药学类,药学概论、管理学原理、法学基础、药事管理学、药品注册管理、药品质量管理、药事管理模拟实训、药品注册流程实践、医药企业实习、药物化学,rysxai_major_course,,北京中医药大学、中国药科大学、南京中医药大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：北京中医药大学、中国药科大学、南京中医药大学,沈阳药科大学、湖北中医药大学、长春中医药大学、贵州医科大学、山西中医药大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：沈阳药科大学、湖北中医药大学、长春中医药大学、贵州医科大学、山西中医药大学,东南大学成贤学院、大连医科大学中山学院、辽宁中医药大学杏林学院、辽宁何氏医学院、北京中医药大学东方学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：东南大学成贤学院、大连医科大学中山学院、辽宁中医药大学杏林学院、辽宁何氏医学院、北京中医药大学东方学院
100705T,药物分析,本科(普通),理学学士,四年,医学,药学类,无机化学、药物化学、药剂学、药理学、药物分析、生药学、药事管理学、临床药学、药品质量控制,rysxai_major_course+category_template,,中国药科大学、哈尔滨医科大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：中国药科大学、哈尔滨医科大学,河北医科大学、中南民族大学、沈阳药科大学、黑龙江中医药大学、广东医科大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：河北医科大学、中南民族大学、沈阳药科大学、黑龙江中医药大学、广东医科大学,重庆第二师范学院、亳州学院、广西民族师范学院、金华职业技术大学、珠海科技学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：重庆第二师范学院、亳州学院、广西民族师范学院、金华职业技术大学、珠海科技学院
100706T,药物化学,本科(普通),理学学士,四年,医学,药学类,药物化学、药剂学、药理学、药物分析、生药学、药事管理学、临床药学、药品质量控制,category_template,rysxai课程文本未抽出课程名,南开大学、中国药科大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：南开大学、中国药科大学,河北医科大学、辽宁师范大学、沈阳药科大学、上海工程技术大学、广东药科大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：河北医科大学、辽宁师范大学、沈阳药科大学、上海工程技术大学、广东药科大学,长治学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：长治学院
100707T,海洋药学,本科(普通),理学学士,四年,医学,药学类,海洋生物学、化学、药理学基础、生物化学、微生物学、海洋药物化学、海洋天然药物学、海洋药理学、海洋生物制品学、海洋药物分析,rysxai_major_course,,中国药科大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：中国药科大学,海南医科大学、广东医科大学、广东药科大学、临沂大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：海南医科大学、广东医科大学、广东药科大学、临沂大学,厦门医学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：厦门医学院
100708T,化妆品科学与技术,本科(普通),理学学士,四年,医学,药学类,大学英语、计算机应用基础、高等数学、无机化学、有机化学、分析化学、生物化学、皮肤生理学、化妆品配方设计、化妆品原料学,rysxai_major_course,,中国药科大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：中国药科大学,广东医科大学、广东药科大学、临沂大学、湖北科技学院,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：广东医科大学、广东药科大学、临沂大学、湖北科技学院,厦门医学院、齐鲁医药学院、广州华商学院,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：厦门医学院、齐鲁医药学院、广州华商学院
100709TK,药物经济与管理,本科(普通),管理学学士,四年,医学,药学类,药理学、经济学基础、管理学原理、药物经济学、药事管理学、药品市场营销学、药物经济学案例分析实训、医药市场调研实践、药事管理法规实务、药物化学,rysxai_major_course,,中国药科大学、温州医科大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看循证医学、临床科研、规范化临床技能、病例讨论；样例：中国药科大学、温州医科大学,山东中医药大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：山东中医药大学,库内未命中,普通应用/职业供给：更强调基础技能、临床见习、护理/检验/影像操作规范、资格考试衔接，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
